gs_name,entrez_gene
HALLMARK_ALLOGRAFT_REJECTION,11308
HALLMARK_ALLOGRAFT_REJECTION,11423
HALLMARK_ALLOGRAFT_REJECTION,11480
HALLMARK_ALLOGRAFT_REJECTION,11651
HALLMARK_ALLOGRAFT_REJECTION,11785
HALLMARK_ALLOGRAFT_REJECTION,12010
HALLMARK_ALLOGRAFT_REJECTION,12035
HALLMARK_ALLOGRAFT_REJECTION,12042
HALLMARK_ALLOGRAFT_REJECTION,12051
HALLMARK_ALLOGRAFT_REJECTION,12189
HALLMARK_ALLOGRAFT_REJECTION,12263
HALLMARK_ALLOGRAFT_REJECTION,12332
HALLMARK_ALLOGRAFT_REJECTION,27220
HALLMARK_ALLOGRAFT_REJECTION,20292
HALLMARK_ALLOGRAFT_REJECTION,20292
HALLMARK_ALLOGRAFT_REJECTION,24047
HALLMARK_ALLOGRAFT_REJECTION,20296
HALLMARK_ALLOGRAFT_REJECTION,20299
HALLMARK_ALLOGRAFT_REJECTION,20303
HALLMARK_ALLOGRAFT_REJECTION,20304
HALLMARK_ALLOGRAFT_REJECTION,20306
HALLMARK_ALLOGRAFT_REJECTION,12444
HALLMARK_ALLOGRAFT_REJECTION,12445
HALLMARK_ALLOGRAFT_REJECTION,12768
HALLMARK_ALLOGRAFT_REJECTION,12772
HALLMARK_ALLOGRAFT_REJECTION,12774
HALLMARK_ALLOGRAFT_REJECTION,12479
HALLMARK_ALLOGRAFT_REJECTION,12481
HALLMARK_ALLOGRAFT_REJECTION,12503
HALLMARK_ALLOGRAFT_REJECTION,12487
HALLMARK_ALLOGRAFT_REJECTION,12500
HALLMARK_ALLOGRAFT_REJECTION,12501
HALLMARK_ALLOGRAFT_REJECTION,12502
HALLMARK_ALLOGRAFT_REJECTION,12504
HALLMARK_ALLOGRAFT_REJECTION,21939
HALLMARK_ALLOGRAFT_REJECTION,21947
HALLMARK_ALLOGRAFT_REJECTION,16423
HALLMARK_ALLOGRAFT_REJECTION,12516
HALLMARK_ALLOGRAFT_REJECTION,16149
HALLMARK_ALLOGRAFT_REJECTION,12518
HALLMARK_ALLOGRAFT_REJECTION,12519
HALLMARK_ALLOGRAFT_REJECTION,12524
HALLMARK_ALLOGRAFT_REJECTION,12525
HALLMARK_ALLOGRAFT_REJECTION,12526
HALLMARK_ALLOGRAFT_REJECTION,84544
HALLMARK_ALLOGRAFT_REJECTION,12578
HALLMARK_ALLOGRAFT_REJECTION,18636
HALLMARK_ALLOGRAFT_REJECTION,54698
HALLMARK_ALLOGRAFT_REJECTION,12977
HALLMARK_ALLOGRAFT_REJECTION,12988
HALLMARK_ALLOGRAFT_REJECTION,13040
HALLMARK_ALLOGRAFT_REJECTION,55985
HALLMARK_ALLOGRAFT_REJECTION,17329
HALLMARK_ALLOGRAFT_REJECTION,12766
HALLMARK_ALLOGRAFT_REJECTION,226414
HALLMARK_ALLOGRAFT_REJECTION,13244
HALLMARK_ALLOGRAFT_REJECTION,226419
HALLMARK_ALLOGRAFT_REJECTION,13649
HALLMARK_ALLOGRAFT_REJECTION,13669
HALLMARK_ALLOGRAFT_REJECTION,55944
HALLMARK_ALLOGRAFT_REJECTION,78655
HALLMARK_ALLOGRAFT_REJECTION,100042807
HALLMARK_ALLOGRAFT_REJECTION,230861
HALLMARK_ALLOGRAFT_REJECTION,276770
HALLMARK_ALLOGRAFT_REJECTION,50701
HALLMARK_ALLOGRAFT_REJECTION,56501
HALLMARK_ALLOGRAFT_REJECTION,13874
HALLMARK_ALLOGRAFT_REJECTION,23871
HALLMARK_ALLOGRAFT_REJECTION,14061
HALLMARK_ALLOGRAFT_REJECTION,14062
HALLMARK_ALLOGRAFT_REJECTION,14102
HALLMARK_ALLOGRAFT_REJECTION,14103
HALLMARK_ALLOGRAFT_REJECTION,14130
HALLMARK_ALLOGRAFT_REJECTION,14191
HALLMARK_ALLOGRAFT_REJECTION,192176
HALLMARK_ALLOGRAFT_REJECTION,23880
HALLMARK_ALLOGRAFT_REJECTION,14423
HALLMARK_ALLOGRAFT_REJECTION,14469
HALLMARK_ALLOGRAFT_REJECTION,14537
HALLMARK_ALLOGRAFT_REJECTION,170823
HALLMARK_ALLOGRAFT_REJECTION,14744
HALLMARK_ALLOGRAFT_REJECTION,14938
HALLMARK_ALLOGRAFT_REJECTION,14939
HALLMARK_ALLOGRAFT_REJECTION,15163
HALLMARK_ALLOGRAFT_REJECTION,79221
HALLMARK_ALLOGRAFT_REJECTION,15251
HALLMARK_ALLOGRAFT_REJECTION,15007
HALLMARK_ALLOGRAFT_REJECTION,15018
HALLMARK_ALLOGRAFT_REJECTION,14998
HALLMARK_ALLOGRAFT_REJECTION,14999
HALLMARK_ALLOGRAFT_REJECTION,15001
HALLMARK_ALLOGRAFT_REJECTION,15002
HALLMARK_ALLOGRAFT_REJECTION,14960
HALLMARK_ALLOGRAFT_REJECTION,100504404
HALLMARK_ALLOGRAFT_REJECTION,15040
HALLMARK_ALLOGRAFT_REJECTION,14991
HALLMARK_ALLOGRAFT_REJECTION,15007
HALLMARK_ALLOGRAFT_REJECTION,15018
HALLMARK_ALLOGRAFT_REJECTION,15894
HALLMARK_ALLOGRAFT_REJECTION,50723
HALLMARK_ALLOGRAFT_REJECTION,15976
HALLMARK_ALLOGRAFT_REJECTION,15978
HALLMARK_ALLOGRAFT_REJECTION,15979
HALLMARK_ALLOGRAFT_REJECTION,15980
HALLMARK_ALLOGRAFT_REJECTION,80719
HALLMARK_ALLOGRAFT_REJECTION,16150
HALLMARK_ALLOGRAFT_REJECTION,16153
HALLMARK_ALLOGRAFT_REJECTION,16156
HALLMARK_ALLOGRAFT_REJECTION,16159
HALLMARK_ALLOGRAFT_REJECTION,16160
HALLMARK_ALLOGRAFT_REJECTION,16161
HALLMARK_ALLOGRAFT_REJECTION,16163
HALLMARK_ALLOGRAFT_REJECTION,16168
HALLMARK_ALLOGRAFT_REJECTION,16170
HALLMARK_ALLOGRAFT_REJECTION,16173
HALLMARK_ALLOGRAFT_REJECTION,16174
HALLMARK_ALLOGRAFT_REJECTION,16176
HALLMARK_ALLOGRAFT_REJECTION,16183
HALLMARK_ALLOGRAFT_REJECTION,50931
HALLMARK_ALLOGRAFT_REJECTION,16184
HALLMARK_ALLOGRAFT_REJECTION,16185
HALLMARK_ALLOGRAFT_REJECTION,16186
HALLMARK_ALLOGRAFT_REJECTION,16189
HALLMARK_ALLOGRAFT_REJECTION,16190
HALLMARK_ALLOGRAFT_REJECTION,16193
HALLMARK_ALLOGRAFT_REJECTION,16196
HALLMARK_ALLOGRAFT_REJECTION,16198
HALLMARK_ALLOGRAFT_REJECTION,16323
HALLMARK_ALLOGRAFT_REJECTION,16324
HALLMARK_ALLOGRAFT_REJECTION,16364
HALLMARK_ALLOGRAFT_REJECTION,54123
HALLMARK_ALLOGRAFT_REJECTION,15900
HALLMARK_ALLOGRAFT_REJECTION,16408
HALLMARK_ALLOGRAFT_REJECTION,16414
HALLMARK_ALLOGRAFT_REJECTION,16428
HALLMARK_ALLOGRAFT_REJECTION,16452
HALLMARK_ALLOGRAFT_REJECTION,16643
HALLMARK_ALLOGRAFT_REJECTION,16678
HALLMARK_ALLOGRAFT_REJECTION,16818
HALLMARK_ALLOGRAFT_REJECTION,16822
HALLMARK_ALLOGRAFT_REJECTION,16878
HALLMARK_ALLOGRAFT_REJECTION,16994
HALLMARK_ALLOGRAFT_REJECTION,17076
HALLMARK_ALLOGRAFT_REJECTION,17084
HALLMARK_ALLOGRAFT_REJECTION,17096
HALLMARK_ALLOGRAFT_REJECTION,26409
HALLMARK_ALLOGRAFT_REJECTION,26411
HALLMARK_ALLOGRAFT_REJECTION,17195
HALLMARK_ALLOGRAFT_REJECTION,17395
HALLMARK_ALLOGRAFT_REJECTION,94062
HALLMARK_ALLOGRAFT_REJECTION,76784
HALLMARK_ALLOGRAFT_REJECTION,17972
HALLMARK_ALLOGRAFT_REJECTION,17973
HALLMARK_ALLOGRAFT_REJECTION,17086
HALLMARK_ALLOGRAFT_REJECTION,216799
HALLMARK_ALLOGRAFT_REJECTION,18102
HALLMARK_ALLOGRAFT_REJECTION,18126
HALLMARK_ALLOGRAFT_REJECTION,18148
HALLMARK_ALLOGRAFT_REJECTION,56744
HALLMARK_ALLOGRAFT_REJECTION,18646
HALLMARK_ALLOGRAFT_REJECTION,18751
HALLMARK_ALLOGRAFT_REJECTION,18752
HALLMARK_ALLOGRAFT_REJECTION,19171
HALLMARK_ALLOGRAFT_REJECTION,15170
HALLMARK_ALLOGRAFT_REJECTION,19264
HALLMARK_ALLOGRAFT_REJECTION,104458
HALLMARK_ALLOGRAFT_REJECTION,192656
HALLMARK_ALLOGRAFT_REJECTION,67248
HALLMARK_ALLOGRAFT_REJECTION,66211
HALLMARK_ALLOGRAFT_REJECTION,20005
HALLMARK_ALLOGRAFT_REJECTION,20085
HALLMARK_ALLOGRAFT_REJECTION,20091
HALLMARK_ALLOGRAFT_REJECTION,76846
HALLMARK_ALLOGRAFT_REJECTION,54390
HALLMARK_ALLOGRAFT_REJECTION,12703
HALLMARK_ALLOGRAFT_REJECTION,56468
HALLMARK_ALLOGRAFT_REJECTION,20375
HALLMARK_ALLOGRAFT_REJECTION,19073
HALLMARK_ALLOGRAFT_REJECTION,20452
HALLMARK_ALLOGRAFT_REJECTION,192187
HALLMARK_ALLOGRAFT_REJECTION,20846
HALLMARK_ALLOGRAFT_REJECTION,20849
HALLMARK_ALLOGRAFT_REJECTION,21354
